"gdp_pps","unemployment","life_expectancy","disposable_income","poverty_risk","early_school_leaving","tertiary_edu","emp_agriculture","emp_industry","emp_services","rd_expenditure","pop_density","renewables_share","ghg_emissions","municipal_waste","geo","country"
31800,5.1,81.4,85,13,1.9,31.4,4.00296515937732,14.3810229799852,22.9058561897702,0.84,78.1,34.643,56661055.73,835,"AT11","AT"
37400,5.1,80.7,100,15.2,7.8,33.9,4.67080745341615,17.9378881987578,22.8695652173913,1.78,89.3,34.643,56661055.73,835,"AT12","AT"
53800,12.1,80.1,143,26.3,9.9,44.5,0.395165039516504,9.40260344026034,24.7443049744305,4.04,4838.6,34.643,56661055.73,835,"AT13","AT"
40100,5.6,81.5,107,15.6,7.9,33.6,4.04280618311534,19.1835116924296,26.0800634165676,2.98,60,34.643,56661055.73,835,"AT21","AT"
41700,4.3,81.8,111,15.3,7.9,30.2,5.10083036773428,20.149127266565,23.1655651584477,5.17,76.7,34.643,56661055.73,835,"AT22","AT"
47400,3.8,81.5,126,11.2,6.5,30.5,4.2098184263618,26.079354404842,23.4700739744452,3.58,127.4,34.643,56661055.73,835,"AT31","AT"
52400,4.6,81.9,140,14.3,6.3,33.6,4.27691192461037,16.201522290685,28.16237767307,1.75,79.3,34.643,56661055.73,835,"AT32","AT"
44500,4.8,82.8,118,18.2,7.9,31.4,2.75006740361283,17.2283634402804,28.4712860609329,3.21,60.7,34.643,56661055.73,835,"AT33","AT"
51400,4.1,82.7,137,19.4,6.3,28.6,2.11480362537764,29.5568982880161,22.5579053373615,1.86,157.3,34.643,56661055.73,835,"AT34","AT"
72900,12.4,81.4,194,35.5,9.1,52.2,2.63005780346821,6.07535986452159,18.5436071126164,2.49,7560.8,13.017,87431269.96,755,"BE10","BE"
51300,5.2,82.9,137,16.4,6.2,43.5,0.597832855897372,14.4600822020177,23.8261302777432,4.04,669.1,13.017,87431269.96,755,"BE21","BE"
